, ,',^,a,d,e,g,h,i,k,l,m,n,o,q,s,t,u,v,w,y,~,<del>
 ,6521,5,0,4,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,22
',6,1968,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
^,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,2,0,0,11588,0,0,0,2,7,0,0,0,0,6,0,1,1,2,9,0,0,0,11
d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0,0,0,2,0,3312,0,1,3,0,0,0,0,3,0,0,0,0,6,0,0,0,3
g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h,0,2,0,0,0,0,0,12240,1,0,4,0,0,0,0,0,2,0,0,1,1,0,30
i,1,0,0,14,0,0,0,0,10857,0,0,0,1,2,0,0,0,0,4,0,1,0,17
k,0,0,0,0,0,0,0,0,0,6579,0,0,0,0,0,0,3,0,0,2,1,0,3
l,0,0,0,0,0,0,0,6,0,0,4659,0,1,0,0,0,3,0,0,0,1,0,6
m,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,2,0,4504,0,0,0,1,0,0,0,1,0,5
o,0,0,0,5,0,1,0,0,0,0,0,0,0,3755,0,0,0,0,1,0,0,0,4
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6830,0,0,0,0,0,0,6
t,0,0,0,0,0,1,0,1,0,2,7,0,0,0,0,0,10010,0,0,0,1,0,9
u,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,4062,2,0,0,0,3
v,0,0,0,10,0,1,0,0,1,0,0,0,0,1,0,0,0,2,4232,0,0,0,5
w,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2364,0,0,10
y,0,1,0,0,0,0,0,3,0,2,0,0,1,0,0,0,1,0,0,0,2173,0,6
~,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<ins>,13,18,0,6,0,0,0,21,13,3,5,0,2,3,0,5,11,1,2,2,9,0,0
