, ,',a,e,h,i,k,l,m,n,o,s,t,u,v,w,y
 ,0.955930,0.001712,0.013142,0.004740,0.005035,0.006008,0.002252,0.000871,0.000062,0.000894,0.000896,0.000203,0.000948,0.000628,0.004511,0.000654,0.001514
',0.002504,0.860265,0.033954,0.014443,0.024901,0.012336,0.007737,0.003002,0.000016,0.001757,0.004280,0.000380,0.003176,0.001034,0.021241,0.002831,0.006143
a,0.000261,0.000085,0.930762,0.011719,0.001310,0.020259,0.000858,0.000378,0.000004,0.000205,0.003832,0.000063,0.000247,0.001121,0.028213,0.000335,0.000347
e,0.000147,0.000039,0.028176,0.931183,0.001817,0.015445,0.000795,0.000700,0.000005,0.000316,0.004700,0.000099,0.000299,0.000578,0.014138,0.000527,0.001036
h,0.002664,0.001087,0.018168,0.005416,0.928663,0.006565,0.007025,0.006380,0.000005,0.002986,0.001801,0.001707,0.004096,0.000704,0.006714,0.002337,0.003683
i,0.000737,0.000188,0.056579,0.019302,0.001983,0.877821,0.001398,0.000919,0.000002,0.000401,0.002817,0.000080,0.000773,0.006176,0.029305,0.000542,0.000977
k,0.002463,0.000835,0.018233,0.005700,0.019102,0.006943,0.893782,0.004558,0.000036,0.004232,0.001750,0.001803,0.015494,0.000972,0.008516,0.006462,0.009121
l,0.001954,0.001187,0.017272,0.006533,0.014351,0.008509,0.016082,0.886251,0.000116,0.008474,0.002382,0.000497,0.008479,0.001109,0.007286,0.006099,0.013420
m,0.001491,0.000612,0.013742,0.003424,0.019958,0.009378,0.009240,0.013626,0.832128,0.047160,0.003899,0.001536,0.000820,0.000880,0.020944,0.015135,0.006027
n,0.002093,0.002277,0.018115,0.007314,0.016380,0.008210,0.009438,0.019334,0.001867,0.876359,0.001629,0.000398,0.006779,0.000879,0.012818,0.002664,0.013445
o,0.000661,0.000097,0.047275,0.029356,0.003016,0.010607,0.003169,0.001170,0.000005,0.000620,0.874177,0.000025,0.000693,0.003727,0.022689,0.001315,0.001399
s,0.003929,0.000446,0.028008,0.009733,0.038777,0.011649,0.034880,0.005872,0.000042,0.002697,0.002215,0.823678,0.011946,0.001599,0.010380,0.002729,0.011419
t,0.003863,0.000964,0.023154,0.008151,0.018497,0.011845,0.048474,0.008456,0.000060,0.004085,0.002097,0.002321,0.844070,0.001406,0.008333,0.005087,0.009137
u,0.000786,0.000213,0.065386,0.012313,0.004735,0.112052,0.003373,0.002530,0.000044,0.000868,0.003397,0.000231,0.001045,0.772543,0.017950,0.001314,0.001220
v,0.000676,0.000183,0.045893,0.033269,0.001898,0.028934,0.001598,0.001065,0.000048,0.000512,0.005397,0.000037,0.000549,0.001652,0.876938,0.000700,0.000652
w,0.004624,0.001327,0.018201,0.009114,0.017377,0.008159,0.025055,0.005753,0.000051,0.005404,0.003026,0.000187,0.003261,0.000884,0.007683,0.881885,0.008009
y,0.002498,0.002325,0.014100,0.005575,0.011439,0.007894,0.016654,0.010507,0.000065,0.007761,0.001272,0.000516,0.004429,0.001484,0.007573,0.005673,0.900236
