, ,',a,e,h,i,k,l,m,n,o,s,t,u,v,w,y
 ,0.988874,0.001214,0.001890,0.001064,0.001986,0.000895,0.000765,0.000013,0.000012,0.000525,0.000151,0.000151,0.000847,0.000451,0.000938,0.000038,0.000187
',0.001220,0.970305,0.001065,0.001703,0.013695,0.001456,0.002980,0.001187,0.000041,0.000349,0.000471,0.000364,0.001304,0.000427,0.000823,0.000496,0.002115
a,0.000202,0.000061,0.975456,0.002069,0.000430,0.007308,0.000306,0.000196,0.000019,0.000109,0.001402,0.000036,0.000139,0.000301,0.011891,0.000056,0.000019
e,0.000021,0.000023,0.004977,0.979630,0.000719,0.005676,0.000590,0.000172,0.000021,0.000203,0.002148,0.000088,0.000039,0.000107,0.005224,0.000044,0.000318
h,0.001211,0.000608,0.001500,0.000326,0.970785,0.001499,0.003337,0.007936,0.000007,0.002414,0.000513,0.002376,0.003829,0.000077,0.000480,0.001707,0.001395
i,0.000339,0.000109,0.018050,0.003629,0.000731,0.963993,0.000440,0.000228,0.000007,0.000238,0.000699,0.000017,0.000608,0.005812,0.004851,0.000054,0.000195
k,0.000778,0.000687,0.000973,0.000909,0.012504,0.001474,0.948972,0.003071,0.000014,0.001641,0.000066,0.001704,0.015776,0.000676,0.000281,0.004712,0.005763
l,0.001038,0.001121,0.002350,0.001615,0.007929,0.003006,0.008714,0.946421,0.000081,0.008626,0.000586,0.000292,0.006044,0.000525,0.000893,0.003236,0.007525
m,0.000565,0.000721,0.000564,0.000564,0.007465,0.000564,0.002077,0.000771,0.948312,0.025038,0.000564,0.003025,0.000564,0.000565,0.000564,0.006523,0.001555
n,0.000385,0.001802,0.001799,0.000582,0.008490,0.002847,0.005216,0.021645,0.002141,0.939257,0.000278,0.000114,0.003843,0.000215,0.001925,0.001350,0.008112
o,0.000164,0.000212,0.022133,0.013539,0.000525,0.005085,0.000931,0.000284,0.000018,0.000174,0.934355,0.000020,0.000155,0.001591,0.020404,0.000367,0.000043
s,0.002107,0.000023,0.002072,0.001428,0.042131,0.003019,0.032791,0.004586,0.000058,0.002659,0.000163,0.881744,0.010184,0.000270,0.001387,0.001583,0.013795
t,0.001991,0.000476,0.001470,0.000979,0.012865,0.003408,0.047701,0.009133,0.000012,0.003166,0.000152,0.003561,0.903156,0.000335,0.000371,0.003455,0.007767
u,0.000297,0.000321,0.031773,0.007048,0.001107,0.136940,0.001671,0.000784,0.000019,0.000196,0.001506,0.000127,0.000475,0.809059,0.007584,0.000449,0.000643
v,0.000403,0.000087,0.011105,0.022791,0.000833,0.012591,0.000704,0.000456,0.000017,0.000037,0.003258,0.000048,0.000111,0.000705,0.946812,0.000017,0.000026
w,0.002323,0.002107,0.002698,0.000601,0.010317,0.001823,0.018116,0.002001,0.000122,0.003602,0.001174,0.000114,0.001965,0.000458,0.000952,0.948073,0.003556
y,0.001555,0.002436,0.001543,0.001202,0.006274,0.004586,0.010970,0.007634,0.000034,0.004703,0.000139,0.000631,0.003814,0.001415,0.001417,0.005450,0.946197
