, ,',a,e,h,i,k,l,m,n,o,s,t,u,v,w,y
 ,0.754034,0.005277,0.084402,0.025397,0.022263,0.031791,0.012971,0.004417,0.000259,0.003481,0.006216,0.000862,0.002998,0.002524,0.029573,0.004222,0.009312
',0.008004,0.394189,0.171954,0.052420,0.074552,0.052926,0.029680,0.011747,0.000102,0.008179,0.020898,0.001029,0.013294,0.003351,0.116396,0.012524,0.028757
a,0.000297,0.000151,0.840783,0.025467,0.002415,0.046030,0.001178,0.000697,0.000005,0.000412,0.009422,0.000103,0.000234,0.002760,0.068402,0.000688,0.000957
e,0.000168,0.000165,0.083898,0.798216,0.005807,0.045410,0.001573,0.001970,0.000021,0.000699,0.011890,0.000037,0.000773,0.001677,0.042620,0.002086,0.002990
h,0.004604,0.003129,0.090849,0.022711,0.730211,0.026168,0.021772,0.011526,0.000019,0.009010,0.008476,0.002414,0.007775,0.003109,0.036144,0.006628,0.015454
i,0.001192,0.000356,0.169988,0.056471,0.005140,0.619647,0.004025,0.002468,0.000007,0.001009,0.009983,0.000203,0.001504,0.011450,0.111452,0.001454,0.003651
k,0.006086,0.002549,0.081720,0.022038,0.049068,0.022685,0.641765,0.011993,0.000209,0.017953,0.008981,0.003672,0.034217,0.002783,0.042643,0.019087,0.032549
l,0.004055,0.002321,0.077174,0.024339,0.044355,0.030369,0.050019,0.599574,0.000101,0.021528,0.011670,0.000915,0.020343,0.003952,0.038741,0.022845,0.047699
m,0.007787,0.002677,0.053198,0.013499,0.065933,0.032509,0.033645,0.052640,0.428670,0.106047,0.015884,0.001069,0.003736,0.003596,0.088562,0.060555,0.029992
n,0.004632,0.003454,0.096727,0.030346,0.063565,0.031696,0.035616,0.054499,0.002450,0.502741,0.008291,0.001697,0.028363,0.003678,0.067384,0.012681,0.052179
o,0.001192,0.000026,0.128285,0.063461,0.009142,0.031301,0.008441,0.002991,0.000024,0.002114,0.677705,0.000104,0.002080,0.011728,0.052562,0.003542,0.005303
s,0.010624,0.002733,0.188234,0.050544,0.088941,0.057909,0.116934,0.020624,0.000068,0.012027,0.013957,0.268984,0.031940,0.007199,0.075716,0.013231,0.040335
t,0.007834,0.003785,0.121779,0.033250,0.055846,0.043766,0.126806,0.023576,0.000154,0.015344,0.011574,0.003399,0.445899,0.005578,0.050392,0.016357,0.034661
u,0.001328,0.000051,0.237137,0.041557,0.017403,0.206925,0.010427,0.006427,0.000315,0.003395,0.013991,0.000513,0.002410,0.368475,0.082569,0.002923,0.004156
v,0.000982,0.000192,0.119475,0.046967,0.003789,0.065040,0.002727,0.001993,0.000040,0.001056,0.012915,0.000095,0.001020,0.004343,0.736370,0.001138,0.001859
w,0.010315,0.001960,0.083622,0.042492,0.044930,0.027159,0.057432,0.016423,0.000128,0.015609,0.013949,0.000205,0.009107,0.002835,0.041355,0.602497,0.029981
y,0.004347,0.004172,0.056907,0.016015,0.036504,0.018832,0.044418,0.018350,0.000315,0.021373,0.005097,0.000477,0.011784,0.003343,0.034722,0.015984,0.707360
