, ,',a,e,h,i,k,l,m,n,o,s,t,u,v,w,y
 ,0.995441,0.000451,0.000855,0.000420,0.000665,0.000505,0.000244,0.000056,0.000005,0.000261,0.000060,0.000084,0.000224,0.000218,0.000399,0.000015,0.000098
',0.000360,0.993399,0.000322,0.000833,0.002633,0.000329,0.000393,0.000175,0.000015,0.000082,0.000134,0.000130,0.000028,0.000017,0.000668,0.000145,0.000335
a,0.000080,0.000027,0.989656,0.000919,0.000281,0.003484,0.000181,0.000091,0.000008,0.000031,0.000539,0.000020,0.000095,0.000132,0.004389,0.000057,0.000008
e,0.000010,0.000010,0.001692,0.992401,0.000409,0.001437,0.000255,0.000077,0.000009,0.000088,0.000998,0.000041,0.000068,0.000037,0.002403,0.000019,0.000049
h,0.000850,0.000096,0.000585,0.000163,0.986729,0.000719,0.001387,0.003230,0.000003,0.001001,0.000247,0.000992,0.002360,0.000041,0.000191,0.000911,0.000497
i,0.000095,0.000030,0.005658,0.000965,0.000323,0.988012,0.000164,0.000128,0.000003,0.000099,0.000239,0.000025,0.000315,0.002567,0.001284,0.000029,0.000064
k,0.000454,0.000219,0.000349,0.000396,0.003326,0.000654,0.982017,0.001189,0.000005,0.000469,0.000028,0.000610,0.005937,0.000199,0.000164,0.001886,0.002097
l,0.000463,0.000491,0.000909,0.000608,0.002436,0.001095,0.002944,0.979081,0.000044,0.003600,0.000308,0.000127,0.004130,0.000206,0.000413,0.000856,0.002291
m,0.000236,0.000297,0.000235,0.000235,0.003186,0.000235,0.000634,0.000778,0.979343,0.009504,0.000236,0.001530,0.000235,0.000238,0.000235,0.002572,0.000270
n,0.000343,0.000944,0.000421,0.000207,0.001481,0.000931,0.001351,0.004641,0.000664,0.984489,0.000184,0.000076,0.000905,0.000058,0.000789,0.000404,0.002111
o,0.000070,0.000090,0.010329,0.004414,0.000273,0.001841,0.000439,0.000121,0.000008,0.000076,0.973186,0.000009,0.000123,0.000669,0.008179,0.000156,0.000018
s,0.000732,0.000008,0.000770,0.000501,0.019974,0.000906,0.011064,0.001562,0.000020,0.000680,0.000050,0.951515,0.006687,0.000129,0.000481,0.000513,0.004409
t,0.001227,0.000110,0.000653,0.000302,0.003997,0.001304,0.016011,0.002927,0.000003,0.001074,0.000103,0.001221,0.967283,0.000218,0.000182,0.001117,0.002270
u,0.000264,0.000061,0.008951,0.001938,0.000360,0.049412,0.000753,0.000355,0.000007,0.000143,0.000772,0.000037,0.000234,0.933859,0.002205,0.000229,0.000419
v,0.000117,0.000039,0.004198,0.009167,0.000357,0.004955,0.000296,0.000191,0.000007,0.000040,0.001164,0.000020,0.000054,0.000210,0.979071,0.000076,0.000037
w,0.001240,0.000709,0.001131,0.000210,0.003906,0.000686,0.010163,0.000818,0.000047,0.001615,0.000456,0.000047,0.000544,0.000150,0.000362,0.976665,0.001249
y,0.001579,0.000780,0.000375,0.000526,0.001360,0.001708,0.004078,0.002228,0.000014,0.002570,0.000057,0.000015,0.001612,0.000592,0.000534,0.001408,0.980566
