, ,',a,e,h,i,k,l,m,n,o,s,t,u,v,w,y
 ,0.926524,0.003883,0.018588,0.008535,0.010429,0.011061,0.003558,0.001758,0.000172,0.001660,0.001093,0.000295,0.002206,0.001039,0.005835,0.001020,0.002344
',0.005076,0.798534,0.034021,0.027969,0.056359,0.018949,0.013987,0.005243,0.000048,0.002187,0.004667,0.000755,0.005372,0.002523,0.013238,0.003923,0.007148
a,0.000624,0.000134,0.922949,0.016867,0.002089,0.022254,0.001928,0.000587,0.000006,0.000318,0.003510,0.000115,0.000611,0.001088,0.026167,0.000478,0.000276
e,0.000477,0.000023,0.034726,0.919491,0.001216,0.018456,0.001310,0.000935,0.000020,0.000507,0.006225,0.000333,0.000410,0.000791,0.013425,0.000221,0.001435
h,0.006804,0.002668,0.020479,0.009208,0.891768,0.010537,0.013766,0.012315,0.000016,0.004785,0.001843,0.003388,0.006783,0.001039,0.005853,0.003658,0.005091
i,0.001901,0.000433,0.075709,0.029615,0.003122,0.848125,0.001991,0.001427,0.000007,0.000589,0.002471,0.000116,0.001225,0.010117,0.021456,0.000961,0.000738
k,0.005544,0.001329,0.021227,0.008538,0.041952,0.013124,0.831212,0.008652,0.000020,0.004599,0.001195,0.003864,0.028903,0.001851,0.006452,0.010057,0.011479
l,0.004674,0.002364,0.020255,0.010434,0.026328,0.013681,0.028671,0.830710,0.000365,0.012835,0.001572,0.001273,0.012214,0.001642,0.004031,0.008841,0.020110
m,0.000578,0.000848,0.015649,0.004133,0.024435,0.013928,0.011456,0.014288,0.784350,0.091566,0.004211,0.003045,0.001017,0.001379,0.017502,0.009894,0.001720
n,0.005725,0.005534,0.020780,0.013848,0.030730,0.014963,0.016881,0.040719,0.005119,0.791717,0.001729,0.000567,0.010561,0.001581,0.013928,0.003053,0.022565
o,0.001795,0.000214,0.074793,0.065501,0.005005,0.015911,0.005850,0.002402,0.000020,0.000812,0.782299,0.000039,0.001040,0.004941,0.035177,0.002485,0.001719
s,0.013512,0.000942,0.044903,0.023922,0.088210,0.028922,0.085920,0.015201,0.000162,0.005570,0.004215,0.620666,0.022075,0.004457,0.012107,0.005724,0.023492
t,0.010287,0.001980,0.032414,0.017923,0.042852,0.026210,0.106687,0.017138,0.000212,0.006703,0.002420,0.005417,0.693621,0.002643,0.007261,0.011042,0.015188
u,0.002023,0.000804,0.122844,0.024385,0.009636,0.236242,0.006661,0.006506,0.000022,0.001448,0.004466,0.000667,0.002613,0.552915,0.023472,0.003531,0.001765
v,0.001761,0.000576,0.058864,0.077895,0.003478,0.044405,0.003544,0.002162,0.000199,0.001066,0.006686,0.000044,0.001256,0.001946,0.793614,0.001784,0.000721
w,0.011549,0.002944,0.027081,0.014307,0.041271,0.018853,0.050106,0.014155,0.000093,0.010462,0.003678,0.000706,0.007946,0.001949,0.007602,0.772965,0.014333
y,0.003693,0.005273,0.019040,0.011591,0.020068,0.016696,0.030145,0.027580,0.000087,0.011693,0.001754,0.002021,0.006618,0.002600,0.006075,0.009597,0.825469
