, ,',a,e,h,i,k,l,m,n,o,s,t,u,v,w,y
 ,0.942745,0.002185,0.007189,0.005664,0.005805,0.009741,0.001130,0.004199,0.000032,0.000991,0.000163,0.002869,0.006805,0.001537,0.007186,0.000141,0.001619
',0.016186,0.869815,0.014949,0.027160,0.009269,0.016237,0.001581,0.004469,0.000143,0.000385,0.000690,0.003533,0.005490,0.001356,0.025362,0.000140,0.003235
a,0.004913,0.000410,0.911087,0.015633,0.003352,0.022761,0.000781,0.003070,0.000071,0.000716,0.002308,0.001995,0.006269,0.002437,0.022834,0.000453,0.000910
e,0.002047,0.000510,0.013910,0.911223,0.002057,0.019566,0.001484,0.002069,0.000072,0.001624,0.001941,0.003630,0.006056,0.004919,0.026946,0.000419,0.001527
h,0.014257,0.002647,0.013603,0.009867,0.869335,0.012211,0.004865,0.011725,0.000020,0.004453,0.000883,0.011365,0.022965,0.002519,0.012911,0.001727,0.004647
i,0.004900,0.002819,0.024374,0.019584,0.004384,0.892389,0.001181,0.001713,0.000020,0.000524,0.000780,0.003078,0.006814,0.013595,0.022160,0.000225,0.001457
k,0.012931,0.000733,0.014741,0.015719,0.023181,0.013576,0.787030,0.008815,0.000038,0.001509,0.001140,0.030240,0.062550,0.003996,0.012917,0.002377,0.008506
l,0.008152,0.002692,0.010018,0.011636,0.011023,0.008320,0.005056,0.873452,0.000297,0.003836,0.000504,0.008785,0.034405,0.002335,0.011308,0.001598,0.006583
m,0.009746,0.001473,0.010937,0.015649,0.002523,0.015303,0.010707,0.039152,0.706832,0.066549,0.001535,0.009401,0.027394,0.009199,0.031445,0.002657,0.039498
n,0.011843,0.004076,0.006273,0.006579,0.013115,0.010688,0.004400,0.038308,0.001569,0.835158,0.000310,0.006830,0.029498,0.002121,0.017756,0.000676,0.010803
o,0.014320,0.000607,0.033963,0.030577,0.004020,0.015298,0.002005,0.005579,0.000081,0.000823,0.841642,0.009300,0.011123,0.004707,0.022719,0.002454,0.000784
s,0.009516,0.000420,0.015822,0.011389,0.039167,0.015996,0.003484,0.004275,0.000036,0.000533,0.000880,0.858535,0.021113,0.002240,0.013607,0.000173,0.002815
t,0.010643,0.001371,0.009098,0.010532,0.021803,0.012097,0.020901,0.016058,0.000095,0.002603,0.000570,0.016867,0.854836,0.002751,0.011628,0.000921,0.007226
u,0.011920,0.000515,0.015240,0.020883,0.008679,0.064042,0.002879,0.006497,0.000061,0.001518,0.001183,0.007220,0.014971,0.823468,0.016898,0.000955,0.003070
v,0.004287,0.000515,0.031456,0.032361,0.003147,0.022017,0.000570,0.003049,0.000051,0.001574,0.002540,0.002826,0.006618,0.005016,0.882974,0.000071,0.000929
w,0.013908,0.002531,0.029878,0.014068,0.015214,0.016499,0.023353,0.031164,0.000138,0.007355,0.002996,0.018418,0.044493,0.005373,0.018664,0.741770,0.014178
y,0.007259,0.003388,0.007048,0.006525,0.012907,0.013668,0.006816,0.016899,0.000113,0.002059,0.001134,0.012903,0.029074,0.001994,0.014557,0.000504,0.863153
